id,name,abbreviation,branch,state,website,fb,instagram
0,DC Capital Striders,DCCS,Shaw,DC,https://www.dccapitalstriders.com,https://www.facebook.com/groups/dccsshawbloomingdale,
1,DC Capital Striders,DCCS,Smithsonian,DC,https://www.dccapitalstriders.com,https://www.facebook.com/groups/dccssmithsonian,
2,DC Capital Striders,DCCS,Dupont Circle,DC,https://www.dccapitalstriders.com,https://www.facebook.com/groups/dccsdupontcircle,
3,DC Capital Striders,DCCS,Manassas,VA,https://www.dccapitalstriders.com,https://www.facebook.com/groups/dccswolfpack,
4,DC Capital Striders,DCCS,Arlington,VA,https://www.dccapitalstriders.com,https://www.facebook.com/groups/arlingtonroadandtrail,
5,DC Capital Striders,DCCS,Vienna,VA,https://www.dccapitalstriders.com,https://www.facebook.com/caboosetrailsandales,
6,DC Capital Striders,DCCS,Alexandria,VA,https://www.dccapitalstriders.com,https://www.facebook.com/groups/481845045502808/,
